Jataí ;5211909;;;;"INSERT INTO municipio_codigo VALUES('Jataí ','5211909');";
Jaupaci ;5212006;;;;"INSERT INTO municipio_codigo VALUES('Jaupaci ','5212006');";
Jesúpolis ;5212055;;;;"INSERT INTO municipio_codigo VALUES('Jesúpolis ','5212055');";
Joviânia ;5212105;;;;"INSERT INTO municipio_codigo VALUES('Joviânia ','5212105');";
Jussara ;5212204;;;;"INSERT INTO municipio_codigo VALUES('Jussara ','5212204');";
Lagoa Santa ;5212253;;;;"INSERT INTO municipio_codigo VALUES('Lagoa Santa ','5212253');";
Leopoldo de Bulhões ;5212303;;;;"INSERT INTO municipio_codigo VALUES('Leopoldo de Bulhões ','5212303');";
Luziânia ;5212501;;;;"INSERT INTO municipio_codigo VALUES('Luziânia ','5212501');";
Mairipotaba ;5212600;;;;"INSERT INTO municipio_codigo VALUES('Mairipotaba ','5212600');";
Mambaí ;5212709;;;;"INSERT INTO municipio_codigo VALUES('Mambaí ','5212709');";
Mara Rosa ;5212808;;;;"INSERT INTO municipio_codigo VALUES('Mara Rosa ','5212808');";
Marzagão ;5212907;;;;"INSERT INTO municipio_codigo VALUES('Marzagão ','5212907');";
Matrinchã ;5212956;;;;"INSERT INTO municipio_codigo VALUES('Matrinchã ','5212956');";
Maurilândia ;5213004;;;;"INSERT INTO municipio_codigo VALUES('Maurilândia ','5213004');";
Mimoso de Goiás ;5213053;;;;"INSERT INTO municipio_codigo VALUES('Mimoso de Goiás ','5213053');";
Minaçu ;5213087;;;;"INSERT INTO municipio_codigo VALUES('Minaçu ','5213087');";
Mineiros ;5213103;;;;"INSERT INTO municipio_codigo VALUES('Mineiros ','5213103');";
Moiporá ;5213400;;;;"INSERT INTO municipio_codigo VALUES('Moiporá ','5213400');";
Monte Alegre de Goiás ;5213509;;;;"INSERT INTO municipio_codigo VALUES('Monte Alegre de Goiás ','5213509');";
Montes Claros de Goiás ;5213707;;;;"INSERT INTO municipio_codigo VALUES('Montes Claros de Goiás ','5213707');";
Montividiu ;5213756;;;;"INSERT INTO municipio_codigo VALUES('Montividiu ','5213756');";
Montividiu do Norte ;5213772;;;;"INSERT INTO municipio_codigo VALUES('Montividiu do Norte ','5213772');";
Morrinhos ;5213806;;;;"INSERT INTO municipio_codigo VALUES('Morrinhos ','5213806');";
Morro Agudo de Goiás ;5213855;;;;"INSERT INTO municipio_codigo VALUES('Morro Agudo de Goiás ','5213855');";
Mossâmedes ;5213905;;;;"INSERT INTO municipio_codigo VALUES('Mossâmedes ','5213905');";
Mozarlândia ;5214002;;;;"INSERT INTO municipio_codigo VALUES('Mozarlândia ','5214002');";
Mundo Novo ;5214051;;;;"INSERT INTO municipio_codigo VALUES('Mundo Novo ','5214051');";
Mutunópolis ;5214101;;;;"INSERT INTO municipio_codigo VALUES('Mutunópolis ','5214101');";
Nazário ;5214408;;;;"INSERT INTO municipio_codigo VALUES('Nazário ','5214408');";
Nerópolis ;5214507;;;;"INSERT INTO municipio_codigo VALUES('Nerópolis ','5214507');";
Niquelândia ;5214606;;;;"INSERT INTO municipio_codigo VALUES('Niquelândia ','5214606');";
Nova América ;5214705;;;;"INSERT INTO municipio_codigo VALUES('Nova América ','5214705');";
Nova Aurora ;5214804;;;;"INSERT INTO municipio_codigo VALUES('Nova Aurora ','5214804');";
Nova Crixás ;5214838;;;;"INSERT INTO municipio_codigo VALUES('Nova Crixás ','5214838');";
Nova Glória ;5214861;;;;"INSERT INTO municipio_codigo VALUES('Nova Glória ','5214861');";
Nova Iguaçu de Goiás ;5214879;;;;"INSERT INTO municipio_codigo VALUES('Nova Iguaçu de Goiás ','5214879');";
Nova Roma ;5214903;;;;"INSERT INTO municipio_codigo VALUES('Nova Roma ','5214903');";
Nova Veneza ;5215009;;;;"INSERT INTO municipio_codigo VALUES('Nova Veneza ','5215009');";
Novo Brasil ;5215207;;;;"INSERT INTO municipio_codigo VALUES('Novo Brasil ','5215207');";
Novo Gama ;5215231;;;;"INSERT INTO municipio_codigo VALUES('Novo Gama ','5215231');";
Novo Planalto ;5215256;;;;"INSERT INTO municipio_codigo VALUES('Novo Planalto ','5215256');";
Orizona ;5215306;;;;"INSERT INTO municipio_codigo VALUES('Orizona ','5215306');";
Ouro Verde de Goiás ;5215405;;;;"INSERT INTO municipio_codigo VALUES('Ouro Verde de Goiás ','5215405');";
Ouvidor ;5215504;;;;"INSERT INTO municipio_codigo VALUES('Ouvidor ','5215504');";
Padre Bernardo ;5215603;;;;"INSERT INTO municipio_codigo VALUES('Padre Bernardo ','5215603');";
Palestina de Goiás ;5215652;;;;"INSERT INTO municipio_codigo VALUES('Palestina de Goiás ','5215652');";
Palmeiras de Goiás ;5215702;;;;"INSERT INTO municipio_codigo VALUES('Palmeiras de Goiás ','5215702');";
Palmelo ;5215801;;;;"INSERT INTO municipio_codigo VALUES('Palmelo ','5215801');";
Palminópolis ;5215900;;;;"INSERT INTO municipio_codigo VALUES('Palminópolis ','5215900');";
Panamá ;5216007;;;;"INSERT INTO municipio_codigo VALUES('Panamá ','5216007');";
Paranaiguara ;5216304;;;;"INSERT INTO municipio_codigo VALUES('Paranaiguara ','5216304');";
